pdb,chain,ligand,depth_from_own_mouth_A,radius_A,depth_on_reference_axis_A,offset_from_reference_A
Amp_MexB_20260826,E,Ampicillin,32.28,3.56,61.24,0.24
Amp_MexB_20260826,E,Ampicillin,32.11,3.48,61.24,0.41
Amp_MexB_20260826,E,Ampicillin,31.94,3.41,61.24,0.58
Amp_MexB_20260826,E,Ampicillin,31.77,3.34,61.24,0.75
Amp_MexB_20260826,E,Ampicillin,31.60,3.28,61.24,0.92
Amp_MexB_20260826,E,Ampicillin,31.44,3.23,61.24,1.08
Amp_MexB_20260826,E,Ampicillin,31.28,3.18,61.24,1.24
Amp_MexB_20260826,E,Ampicillin,31.07,3.11,61.24,1.45
Amp_MexB_20260826,E,Ampicillin,30.86,3.05,61.24,1.65
Amp_MexB_20260826,E,Ampicillin,30.66,2.99,61.24,1.85
Amp_MexB_20260826,E,Ampicillin,30.46,2.95,61.24,2.05
Amp_MexB_20260826,E,Ampicillin,30.26,2.91,61.24,2.24
Amp_MexB_20260826,E,Ampicillin,30.06,2.89,61.24,2.44
Amp_MexB_20260826,E,Ampicillin,29.87,2.87,61.24,2.63
Amp_MexB_20260826,E,Ampicillin,29.68,2.86,52.52,2.60
Amp_MexB_20260826,E,Ampicillin,29.48,2.86,52.23,2.49
Amp_MexB_20260826,E,Ampicillin,29.29,2.86,52.08,2.38
Amp_MexB_20260826,E,Ampicillin,29.09,2.88,51.93,2.27
Amp_MexB_20260826,E,Ampicillin,28.90,2.91,51.93,2.16
Amp_MexB_20260826,E,Ampicillin,28.70,2.94,51.93,2.07
Amp_MexB_20260826,E,Ampicillin,28.50,2.98,51.79,1.99
Amp_MexB_20260826,E,Ampicillin,28.29,3.03,51.64,1.90
Amp_MexB_20260826,E,Ampicillin,28.11,3.03,51.49,1.72
Amp_MexB_20260826,E,Ampicillin,27.92,3.03,51.49,1.54
Amp_MexB_20260826,E,Ampicillin,27.74,3.04,51.49,1.36
Amp_MexB_20260826,E,Ampicillin,27.55,3.05,51.49,1.17
Amp_MexB_20260826,E,Ampicillin,27.36,3.08,51.49,0.99
Amp_MexB_20260826,E,Ampicillin,27.18,3.11,51.49,0.81
Amp_MexB_20260826,E,Ampicillin,26.99,3.15,51.49,0.63
Amp_MexB_20260826,E,Ampicillin,26.80,3.19,51.49,0.46
Amp_MexB_20260826,E,Ampicillin,26.61,3.25,51.35,0.30
Amp_MexB_20260826,E,Ampicillin,26.41,3.31,51.35,0.17
Amp_MexB_20260826,E,Ampicillin,26.23,3.28,51.20,0.10
Amp_MexB_20260826,E,Ampicillin,26.05,3.26,51.06,0.06
Amp_MexB_20260826,E,Ampicillin,25.88,3.25,50.81,0.03
Amp_MexB_20260826,E,Ampicillin,25.70,3.24,50.69,0.04
Amp_MexB_20260826,E,Ampicillin,25.51,3.23,50.44,0.04
Amp_MexB_20260826,E,Ampicillin,25.32,3.23,50.30,0.02
Amp_MexB_20260826,E,Ampicillin,25.14,3.23,50.04,0.06
Amp_MexB_20260826,E,Ampicillin,24.95,3.25,49.89,0.02
Amp_MexB_20260826,E,Ampicillin,24.76,3.26,49.75,0.04
Amp_MexB_20260826,E,Ampicillin,24.57,3.29,49.46,0.07
Amp_MexB_20260826,E,Ampicillin,24.39,3.32,49.34,0.02
Amp_MexB_20260826,E,Ampicillin,24.20,3.37,49.21,0.06
Amp_MexB_20260826,E,Ampicillin,24.00,3.41,48.96,0.02
Amp_MexB_20260826,E,Ampicillin,23.81,3.47,48.71,0.06
Amp_MexB_20260826,E,Ampicillin,23.61,3.53,48.58,0.03
Amp_MexB_20260826,E,Ampicillin,23.41,3.60,48.33,0.06
Amp_MexB_20260826,E,Ampicillin,23.21,3.68,48.20,0.05
Amp_MexB_20260826,E,Ampicillin,23.00,3.77,47.96,0.10
Amp_MexB_20260826,E,Ampicillin,22.79,3.87,47.83,0.16
Amp_MexB_20260826,E,Ampicillin,22.78,3.87,47.71,0.17
Amp_MexB_20260826,E,Ampicillin,22.76,3.87,47.71,0.17
Amp_MexB_20260826,E,Ampicillin,22.75,3.88,47.71,0.17
Amp_MexB_20260826,E,Ampicillin,22.74,3.88,47.71,0.16
Amp_MexB_20260826,E,Ampicillin,22.73,3.88,47.71,0.15
Amp_MexB_20260826,E,Ampicillin,22.71,3.88,47.71,0.15
Amp_MexB_20260826,E,Ampicillin,22.53,3.88,47.59,0.10
Amp_MexB_20260826,E,Ampicillin,22.34,3.89,47.32,0.07
Amp_MexB_20260826,E,Ampicillin,22.15,3.90,47.19,0.08
Amp_MexB_20260826,E,Ampicillin,21.96,3.92,47.06,0.14
Amp_MexB_20260826,E,Ampicillin,21.77,3.94,46.91,0.22
Amp_MexB_20260826,E,Ampicillin,21.58,3.97,46.62,0.30
Amp_MexB_20260826,E,Ampicillin,21.39,4.01,46.62,0.39
Amp_MexB_20260826,E,Ampicillin,21.20,4.03,46.40,0.40
Amp_MexB_20260826,E,Ampicillin,21.02,4.05,46.05,0.37
Amp_MexB_20260826,E,Ampicillin,20.83,4.07,45.86,0.31
Amp_MexB_20260826,E,Ampicillin,20.64,4.10,45.67,0.26
Amp_MexB_20260826,E,Ampicillin,20.45,4.14,45.56,0.21
Amp_MexB_20260826,E,Ampicillin,20.26,4.19,45.33,0.16
Amp_MexB_20260826,E,Ampicillin,20.07,4.24,45.12,0.11
Amp_MexB_20260826,E,Ampicillin,19.87,4.29,44.99,0.09
Amp_MexB_20260826,E,Ampicillin,19.78,4.28,44.99,0.18
Amp_MexB_20260826,E,Ampicillin,19.68,4.26,44.86,0.27
Amp_MexB_20260826,E,Ampicillin,19.59,4.25,44.86,0.36
Amp_MexB_20260826,E,Ampicillin,19.40,4.22,44.73,0.50
Amp_MexB_20260826,E,Ampicillin,19.22,4.20,44.73,0.64
Amp_MexB_20260826,E,Ampicillin,19.03,4.19,44.59,0.79
Amp_MexB_20260826,E,Ampicillin,18.85,4.18,44.45,0.94
Amp_MexB_20260826,E,Ampicillin,18.67,4.17,44.45,1.09
Amp_MexB_20260826,E,Ampicillin,18.48,4.18,44.31,1.24
Amp_MexB_20260826,E,Ampicillin,18.30,4.19,44.31,1.40
Amp_MexB_20260826,E,Ampicillin,18.12,4.20,44.18,1.55
Amp_MexB_20260826,E,Ampicillin,17.95,4.22,42.34,1.53
Amp_MexB_20260826,E,Ampicillin,17.78,4.24,42.21,1.50
Amp_MexB_20260826,E,Ampicillin,17.61,4.27,42.21,1.48
Amp_MexB_20260826,E,Ampicillin,17.45,4.30,42.08,1.47
Amp_MexB_20260826,E,Ampicillin,17.26,4.32,42.08,1.30
Amp_MexB_20260826,E,Ampicillin,17.07,4.34,41.95,1.13
Amp_MexB_20260826,E,Ampicillin,16.87,4.36,41.95,0.96
Amp_MexB_20260826,E,Ampicillin,16.68,4.39,41.82,0.80
Amp_MexB_20260826,E,Ampicillin,16.49,4.43,41.82,0.65
Amp_MexB_20260826,E,Ampicillin,16.29,4.48,41.69,0.52
Amp_MexB_20260826,E,Ampicillin,16.07,4.35,41.56,0.36
Amp_MexB_20260826,E,Ampicillin,15.86,4.23,41.56,0.23
Amp_MexB_20260826,E,Ampicillin,15.65,4.12,41.42,0.17
Amp_MexB_20260826,E,Ampicillin,15.45,4.02,41.16,0.09
Amp_MexB_20260826,E,Ampicillin,15.25,3.93,41.02,0.06
Amp_MexB_20260826,E,Ampicillin,15.05,3.84,40.74,0.06
Amp_MexB_20260826,E,Ampicillin,14.86,3.76,40.60,0.05
Amp_MexB_20260826,E,Ampicillin,14.67,3.68,40.46,0.08
Amp_MexB_20260826,E,Ampicillin,14.48,3.62,40.17,0.08
Amp_MexB_20260826,E,Ampicillin,14.30,3.56,40.04,0.06
Amp_MexB_20260826,E,Ampicillin,14.12,3.50,39.90,0.08
Amp_MexB_20260826,E,Ampicillin,13.93,3.46,39.64,0.04
Amp_MexB_20260826,E,Ampicillin,13.75,3.42,39.50,0.03
Amp_MexB_20260826,E,Ampicillin,13.57,3.38,39.36,0.07
Amp_MexB_20260826,E,Ampicillin,13.39,3.36,39.09,0.04
Amp_MexB_20260826,E,Ampicillin,13.32,3.34,39.09,0.04
Amp_MexB_20260826,E,Ampicillin,13.26,3.33,38.95,0.06
Amp_MexB_20260826,E,Ampicillin,13.19,3.32,38.95,0.06
Amp_MexB_20260826,E,Ampicillin,13.04,3.28,38.83,0.05
Amp_MexB_20260826,E,Ampicillin,12.90,3.25,38.60,0.04
Amp_MexB_20260826,E,Ampicillin,12.75,3.22,38.48,0.03
Amp_MexB_20260826,E,Ampicillin,12.72,3.21,38.48,0.04
Amp_MexB_20260826,E,Ampicillin,12.69,3.20,38.48,0.06
Amp_MexB_20260826,E,Ampicillin,12.66,3.19,38.34,0.08
Amp_MexB_20260826,E,Ampicillin,12.64,3.19,38.34,0.07
Amp_MexB_20260826,E,Ampicillin,12.63,3.19,38.34,0.06
Amp_MexB_20260826,E,Ampicillin,12.62,3.19,38.34,0.05
Amp_MexB_20260826,E,Ampicillin,12.42,3.10,38.20,0.11
Amp_MexB_20260826,E,Ampicillin,12.21,3.02,38.05,0.20
Amp_MexB_20260826,E,Ampicillin,12.01,2.94,37.83,0.29
Amp_MexB_20260826,E,Ampicillin,11.81,2.88,37.46,0.37
Amp_MexB_20260826,E,Ampicillin,11.62,2.82,37.32,0.39
Amp_MexB_20260826,E,Ampicillin,11.43,2.78,37.04,0.37
Amp_MexB_20260826,E,Ampicillin,11.24,2.74,36.76,0.33
Amp_MexB_20260826,E,Ampicillin,11.05,2.71,36.61,0.24
Amp_MexB_20260826,E,Ampicillin,10.86,2.69,36.32,0.15
Amp_MexB_20260826,E,Ampicillin,10.67,2.67,36.19,0.07
Amp_MexB_20260826,E,Ampicillin,10.67,2.67,36.19,0.07
Amp_MexB_20260826,E,Ampicillin,10.66,2.67,36.19,0.07
Amp_MexB_20260826,E,Ampicillin,10.66,2.67,36.19,0.06
Amp_MexB_20260826,E,Ampicillin,10.46,2.60,36.06,0.02
Amp_MexB_20260826,E,Ampicillin,10.28,2.54,35.80,0.06
Amp_MexB_20260826,E,Ampicillin,10.09,2.49,35.68,0.02
Amp_MexB_20260826,E,Ampicillin,9.91,2.44,35.43,0.06
Amp_MexB_20260826,E,Ampicillin,9.73,2.41,35.31,0.03
Amp_MexB_20260826,E,Ampicillin,9.55,2.38,35.07,0.06
Amp_MexB_20260826,E,Ampicillin,9.37,2.36,34.95,0.05
Amp_MexB_20260826,E,Ampicillin,9.19,2.34,34.83,0.09
Amp_MexB_20260826,E,Ampicillin,8.99,2.30,34.58,0.04
Amp_MexB_20260826,E,Ampicillin,8.80,2.26,34.33,0.07
Amp_MexB_20260826,E,Ampicillin,8.61,2.24,34.20,0.04
Amp_MexB_20260826,E,Ampicillin,8.42,2.22,34.07,0.07
Amp_MexB_20260826,E,Ampicillin,8.23,2.22,33.80,0.04
Amp_MexB_20260826,E,Ampicillin,8.05,2.22,33.67,0.04
Amp_MexB_20260826,E,Ampicillin,7.86,2.23,33.40,0.06
Amp_MexB_20260826,E,Ampicillin,7.68,2.25,33.26,0.01
Amp_MexB_20260826,E,Ampicillin,7.49,2.28,33.13,0.05
Amp_MexB_20260826,E,Ampicillin,7.30,2.32,32.87,0.03
Amp_MexB_20260826,E,Ampicillin,7.11,2.37,32.74,0.05
Amp_MexB_20260826,E,Ampicillin,6.91,2.42,32.49,0.03
Amp_MexB_20260826,E,Ampicillin,6.71,2.49,32.25,0.06
Amp_MexB_20260826,E,Ampicillin,6.51,2.57,32.13,0.03
Amp_MexB_20260826,E,Ampicillin,6.30,2.66,31.90,0.06
Amp_MexB_20260826,E,Ampicillin,6.09,2.75,31.67,0.13
Amp_MexB_20260826,E,Ampicillin,5.97,2.76,31.56,0.09
Amp_MexB_20260826,E,Ampicillin,5.85,2.77,31.56,0.07
Amp_MexB_20260826,E,Ampicillin,5.73,2.78,31.44,0.07
Amp_MexB_20260826,E,Ampicillin,5.70,2.77,31.33,0.08
Amp_MexB_20260826,E,Ampicillin,5.66,2.75,31.33,0.09
Amp_MexB_20260826,E,Ampicillin,5.63,2.74,31.33,0.11
Amp_MexB_20260826,E,Ampicillin,5.49,2.73,31.21,0.08
Amp_MexB_20260826,E,Ampicillin,5.35,2.73,31.10,0.07
Amp_MexB_20260826,E,Ampicillin,5.21,2.73,30.88,0.07
Amp_MexB_20260826,E,Ampicillin,5.18,2.72,30.88,0.06
Amp_MexB_20260826,E,Ampicillin,5.15,2.72,30.88,0.07
Amp_MexB_20260826,E,Ampicillin,5.12,2.71,30.88,0.08
Amp_MexB_20260826,E,Ampicillin,5.11,2.71,30.88,0.08
Amp_MexB_20260826,E,Ampicillin,5.11,2.71,30.88,0.08
Amp_MexB_20260826,E,Ampicillin,5.10,2.72,30.88,0.08
Amp_MexB_20260826,E,Ampicillin,5.08,2.71,30.78,0.06
Amp_MexB_20260826,E,Ampicillin,5.06,2.70,30.78,0.05
Amp_MexB_20260826,E,Ampicillin,5.04,2.69,30.78,0.05
Amp_MexB_20260826,E,Ampicillin,4.85,2.62,30.64,0.07
Amp_MexB_20260826,E,Ampicillin,4.66,2.56,30.37,0.05
Amp_MexB_20260826,E,Ampicillin,4.47,2.50,30.23,0.05
Amp_MexB_20260826,E,Ampicillin,4.29,2.46,30.09,0.13
Amp_MexB_20260826,E,Ampicillin,4.11,2.42,29.95,0.22
Amp_MexB_20260826,E,Ampicillin,3.92,2.37,29.83,0.34
Amp_MexB_20260826,E,Ampicillin,3.74,2.33,29.59,0.46
Amp_MexB_20260826,E,Ampicillin,3.56,2.29,29.46,0.57
Amp_MexB_20260826,E,Ampicillin,3.38,2.27,29.34,0.67
Amp_MexB_20260826,E,Ampicillin,3.20,2.25,28.93,0.73
Amp_MexB_20260826,E,Ampicillin,3.03,2.24,28.65,0.79
Amp_MexB_20260826,E,Ampicillin,2.85,2.24,28.51,0.83
Amp_MexB_20260826,E,Ampicillin,2.67,2.25,28.36,0.88
Amp_MexB_20260826,E,Ampicillin,2.49,2.27,28.25,0.93
Amp_MexB_20260826,E,Ampicillin,2.29,2.26,28.03,1.03
Amp_MexB_20260826,E,Ampicillin,2.10,2.27,27.79,1.12
Amp_MexB_20260826,E,Ampicillin,1.90,2.29,27.54,1.20
Amp_MexB_20260826,E,Ampicillin,1.72,2.31,27.28,1.23
Amp_MexB_20260826,E,Ampicillin,1.54,2.35,27.00,1.25
Amp_MexB_20260826,E,Ampicillin,1.35,2.38,26.87,1.27
Amp_MexB_20260826,E,Ampicillin,1.17,2.43,26.87,1.30
Amp_MexB_20260826,E,Ampicillin,0.98,2.49,26.74,1.35
Amp_MexB_20260826,E,Ampicillin,0.80,2.55,26.49,1.40
Amp_MexB_20260826,E,Ampicillin,0.60,2.62,26.37,1.45
Amp_MexB_20260826,E,Ampicillin,0.41,2.71,26.37,1.51
Amp_MexB_20260826,E,Ampicillin,0.21,2.80,26.37,1.60
Amp_MexB_20260826,E,Ampicillin,0.00,2.90,26.37,1.72
