structure,chain,seed,bound,disc,position_along_tunnel_A,tunnel_radius_A,energy_kcal_mol
Amp_MexB_20260826,E,ZZ72000,lb,0,0.00,2.60,-7.50
Amp_MexB_20260826,E,ZZ72000,lb,1,0.50,2.90,-7.10
Amp_MexB_20260826,E,ZZ72000,lb,2,1.00,3.30,-7.00
Amp_MexB_20260826,E,ZZ72000,lb,3,1.50,3.40,-7.40
Amp_MexB_20260826,E,ZZ72000,lb,4,2.00,3.40,-7.50
Amp_MexB_20260826,E,ZZ72000,lb,5,2.50,3.30,-7.20
Amp_MexB_20260826,E,ZZ72000,lb,6,3.00,3.10,-7.40
Amp_MexB_20260826,E,ZZ72000,lb,7,3.50,3.10,-7.40
Amp_MexB_20260826,E,ZZ72000,lb,8,4.00,3.10,-7.50
Amp_MexB_20260826,E,ZZ72000,lb,9,4.50,3.10,-7.00
Amp_MexB_20260826,E,ZZ72000,lb,10,5.00,3.10,-7.40
Amp_MexB_20260826,E,ZZ72000,lb,11,5.50,3.10,-7.20
Amp_MexB_20260826,E,ZZ72000,lb,12,6.00,3.10,-7.40
Amp_MexB_20260826,E,ZZ72000,lb,13,6.50,3.20,-7.40
Amp_MexB_20260826,E,ZZ72000,lb,14,7.00,3.30,-7.00
Amp_MexB_20260826,E,ZZ72000,lb,15,7.50,3.20,-6.80
Amp_MexB_20260826,E,ZZ72000,lb,16,8.00,3.00,-6.60
Amp_MexB_20260826,E,ZZ72000,lb,17,8.50,2.90,-6.20
Amp_MexB_20260826,E,ZZ72000,lb,18,9.00,2.90,-6.50
Amp_MexB_20260826,E,ZZ72000,lb,19,9.50,2.90,-6.50
Amp_MexB_20260826,E,ZZ72000,lb,20,10.00,2.90,-6.00
Amp_MexB_20260826,E,ZZ72000,lb,21,10.50,3.00,-6.00
Amp_MexB_20260826,E,ZZ72000,lb,22,11.00,3.10,-6.10
Amp_MexB_20260826,E,ZZ72000,lb,23,11.50,3.20,-6.30
Amp_MexB_20260826,E,ZZ72000,lb,24,12.00,3.20,-5.70
Amp_MexB_20260826,E,ZZ72000,lb,25,12.50,3.20,-5.80
Amp_MexB_20260826,E,ZZ72000,lb,26,13.00,3.20,-6.40
Amp_MexB_20260826,E,ZZ72000,lb,27,13.50,3.30,-5.30
Amp_MexB_20260826,E,ZZ72000,lb,28,14.00,3.50,-5.30
Amp_MexB_20260826,E,ZZ72000,lb,29,14.50,3.60,-5.60
Amp_MexB_20260826,E,ZZ72000,lb,30,15.00,3.70,-5.60
Amp_MexB_20260826,E,ZZ72000,lb,31,15.50,3.80,-5.80
Amp_MexB_20260826,E,ZZ72000,lb,32,16.00,3.90,-5.70
Amp_MexB_20260826,E,ZZ72000,lb,33,16.50,3.90,-6.20
Amp_MexB_20260826,E,ZZ72000,lb,34,17.00,4.00,-6.10
Amp_MexB_20260826,E,ZZ72000,lb,35,17.50,4.20,-6.30
Amp_MexB_20260826,E,ZZ72000,lb,36,18.00,4.20,-6.20
Amp_MexB_20260826,E,ZZ72000,lb,37,18.50,4.20,-6.40
Amp_MexB_20260826,E,ZZ72000,lb,38,19.00,4.30,-6.30
Amp_MexB_20260826,E,ZZ72000,lb,39,19.50,4.30,-6.10
Amp_MexB_20260826,E,ZZ72000,lb,40,20.00,4.40,-6.50
Amp_MexB_20260826,E,ZZ72000,lb,41,20.50,4.30,-6.30
Amp_MexB_20260826,E,ZZ72000,lb,42,21.00,4.20,-6.20
Amp_MexB_20260826,E,ZZ72000,lb,43,21.50,4.00,-6.20
Amp_MexB_20260826,E,ZZ72000,lb,44,22.00,3.80,-6.20
Amp_MexB_20260826,E,ZZ72000,lb,45,22.50,3.60,-6.30
Amp_MexB_20260826,E,ZZ72000,lb,46,23.00,3.50,-6.40
Amp_MexB_20260826,E,ZZ72000,lb,47,23.50,3.40,-6.60
Amp_MexB_20260826,E,ZZ72000,lb,48,24.00,3.30,-6.40
Amp_MexB_20260826,E,ZZ72000,lb,49,24.50,3.10,-6.40
Amp_MexB_20260826,E,ZZ72000,lb,50,25.00,3.00,-6.40
Amp_MexB_20260826,E,ZZ72000,lb,51,25.50,2.90,-6.60
Amp_MexB_20260826,E,ZZ72000,lb,52,26.00,2.80,-6.60
Amp_MexB_20260826,E,ZZ72000,lb,53,26.50,2.70,-6.30
Amp_MexB_20260826,E,ZZ72000,lb,54,27.00,2.50,-6.20
Amp_MexB_20260826,E,ZZ72000,lb,55,27.50,2.40,-6.50
Amp_MexB_20260826,E,ZZ72000,lb,56,28.00,2.30,-6.40
Amp_MexB_20260826,E,ZZ72000,lb,57,28.50,2.20,-6.30
Amp_MexB_20260826,E,ZZ72000,lb,58,29.00,2.20,-6.70
Amp_MexB_20260826,E,ZZ72000,lb,59,29.50,2.20,-5.90
Amp_MexB_20260826,E,ZZ72000,lb,60,30.00,2.30,-5.90
Amp_MexB_20260826,E,ZZ72000,lb,61,30.50,2.50,-6.00
Amp_MexB_20260826,E,ZZ72000,lb,62,31.00,2.70,-6.00
Amp_MexB_20260826,E,ZZ72000,lb,63,31.50,2.70,-6.00
