depth_from_entrance_A,fraction_PN1,fraction_PN2,fraction_PC1,fraction_PC2
0.00,0.000,0.000,1.000,0.000
0.13,0.000,0.000,1.000,0.000
0.26,0.000,0.000,1.000,0.000
0.39,0.000,0.000,1.000,0.000
0.53,0.000,0.000,1.000,0.000
0.66,0.000,0.000,1.000,0.000
0.79,0.000,0.000,1.000,0.000
0.92,0.000,0.000,1.000,0.000
1.05,0.000,0.000,1.000,0.000
1.20,0.000,0.000,1.000,0.000
1.35,0.000,0.000,1.000,0.000
1.50,0.000,0.000,1.000,0.000
1.64,0.000,0.000,1.000,0.000
1.79,0.000,0.000,1.000,0.000
1.94,0.000,0.000,1.000,0.000
2.08,0.000,0.000,1.000,0.000
2.22,0.000,0.000,1.000,0.000
2.36,0.000,0.000,1.000,0.000
2.50,0.000,0.000,1.000,0.000
2.64,0.000,0.000,1.000,0.000
2.78,0.000,0.000,1.000,0.000
2.92,0.000,0.000,1.000,0.000
3.05,0.000,0.000,1.000,0.000
3.19,0.000,0.000,1.000,0.000
3.32,0.000,0.000,1.000,0.000
3.46,0.000,0.000,1.000,0.000
3.59,0.000,0.000,1.000,0.000
3.74,0.000,0.000,1.000,0.000
3.88,0.000,0.000,1.000,0.000
4.03,0.000,0.000,1.000,0.000
4.17,0.000,0.000,1.000,0.000
4.32,0.000,0.000,1.000,0.000
4.45,0.000,0.000,1.000,0.000
4.58,0.000,0.000,1.000,0.000
4.71,0.000,0.000,1.000,0.000
4.84,0.000,0.000,1.000,0.000
4.98,0.000,0.000,1.000,0.000
5.13,0.000,0.000,1.000,0.000
5.28,0.000,0.000,1.000,0.000
5.43,0.000,0.000,1.000,0.000
5.58,0.000,0.000,1.000,0.000
5.71,0.000,0.000,1.000,0.000
5.84,0.000,0.000,1.000,0.000
5.98,0.000,0.000,1.000,0.000
6.11,0.000,0.000,1.000,0.000
6.23,0.000,0.000,1.000,0.000
6.36,0.000,0.000,1.000,0.000
6.48,0.000,0.000,1.000,0.000
6.60,0.000,0.000,1.000,0.000
6.72,0.000,0.000,1.000,0.000
6.85,0.000,0.000,1.000,0.000
6.97,0.000,0.000,1.000,0.000
7.09,0.000,0.000,1.000,0.000
7.22,0.000,0.000,1.000,0.000
7.35,0.000,0.000,1.000,0.000
7.47,0.000,0.000,1.000,0.000
7.60,0.000,0.000,1.000,0.000
7.74,0.000,0.000,1.000,0.000
7.87,0.000,0.000,1.000,0.000
8.01,0.000,0.000,1.000,0.000
8.14,0.000,0.000,1.000,0.000
8.28,0.000,0.000,1.000,0.000
8.42,0.000,0.000,1.000,0.000
8.55,0.000,0.000,1.000,0.000
8.69,0.000,0.000,1.000,0.000
8.83,0.000,0.000,1.000,0.000
8.96,0.000,0.000,1.000,0.000
9.10,0.000,0.000,1.000,0.000
9.23,0.000,0.000,1.000,0.000
9.36,0.000,0.000,1.000,0.000
9.49,0.000,0.000,1.000,0.000
9.63,0.000,0.000,1.000,0.000
9.76,0.000,0.000,0.999,0.001
9.89,0.000,0.000,0.997,0.003
10.02,0.000,0.000,0.996,0.004
10.15,0.000,0.000,0.995,0.005
10.28,0.000,0.000,0.994,0.006
10.42,0.000,0.000,0.993,0.007
10.55,0.000,0.000,0.990,0.010
10.68,0.000,0.000,0.988,0.012
10.82,0.000,0.000,0.986,0.014
10.95,0.000,0.000,0.983,0.017
11.09,0.000,0.000,0.979,0.021
11.22,0.000,0.000,0.975,0.025
11.36,0.000,0.000,0.971,0.029
11.50,0.000,0.000,0.967,0.033
11.63,0.000,0.000,0.963,0.037
11.77,0.000,0.000,0.959,0.041
11.90,0.000,0.000,0.954,0.046
12.03,0.000,0.000,0.950,0.050
12.16,0.000,0.000,0.945,0.055
12.29,0.000,0.000,0.941,0.059
12.42,0.000,0.000,0.936,0.064
12.54,0.000,0.000,0.930,0.070
12.66,0.000,0.000,0.924,0.076
12.78,0.000,0.000,0.917,0.083
12.89,0.000,0.000,0.911,0.089
13.02,0.000,0.000,0.906,0.094
13.15,0.000,0.000,0.901,0.099
13.28,0.000,0.000,0.896,0.104
13.42,0.000,0.000,0.891,0.109
