pdb,chain,ligand,depth_from_ligand_A,radius_A,enclosure_atoms_12A,kept
Amp_MexB_20260826,E,Ampicillin,0.00,2.64,256,yes
Amp_MexB_20260826,E,Ampicillin,0.13,2.72,254,yes
Amp_MexB_20260826,E,Ampicillin,0.27,2.80,252,yes
Amp_MexB_20260826,E,Ampicillin,0.40,2.88,250,yes
Amp_MexB_20260826,E,Ampicillin,0.53,2.97,247,yes
Amp_MexB_20260826,E,Ampicillin,0.66,3.06,248,yes
Amp_MexB_20260826,E,Ampicillin,0.79,3.14,249,yes
Amp_MexB_20260826,E,Ampicillin,0.92,3.22,253,yes
Amp_MexB_20260826,E,Ampicillin,1.04,3.29,255,yes
Amp_MexB_20260826,E,Ampicillin,1.17,3.35,254,yes
Amp_MexB_20260826,E,Ampicillin,1.30,3.38,257,yes
Amp_MexB_20260826,E,Ampicillin,1.43,3.41,256,yes
Amp_MexB_20260826,E,Ampicillin,1.56,3.44,255,yes
Amp_MexB_20260826,E,Ampicillin,1.68,3.43,256,yes
Amp_MexB_20260826,E,Ampicillin,1.80,3.41,257,yes
Amp_MexB_20260826,E,Ampicillin,1.92,3.40,259,yes
Amp_MexB_20260826,E,Ampicillin,2.04,3.39,260,yes
Amp_MexB_20260826,E,Ampicillin,2.16,3.36,259,yes
Amp_MexB_20260826,E,Ampicillin,2.28,3.32,255,yes
Amp_MexB_20260826,E,Ampicillin,2.40,3.29,257,yes
Amp_MexB_20260826,E,Ampicillin,2.52,3.27,258,yes
Amp_MexB_20260826,E,Ampicillin,2.62,3.24,257,yes
Amp_MexB_20260826,E,Ampicillin,2.72,3.22,259,yes
Amp_MexB_20260826,E,Ampicillin,2.82,3.19,261,yes
Amp_MexB_20260826,E,Ampicillin,2.92,3.17,263,yes
Amp_MexB_20260826,E,Ampicillin,3.02,3.14,262,yes
Amp_MexB_20260826,E,Ampicillin,3.16,3.14,263,yes
Amp_MexB_20260826,E,Ampicillin,3.31,3.14,265,yes
Amp_MexB_20260826,E,Ampicillin,3.44,3.12,266,yes
Amp_MexB_20260826,E,Ampicillin,3.58,3.11,265,yes
Amp_MexB_20260826,E,Ampicillin,3.68,3.10,265,yes
Amp_MexB_20260826,E,Ampicillin,3.78,3.10,265,yes
Amp_MexB_20260826,E,Ampicillin,3.87,3.07,268,yes
Amp_MexB_20260826,E,Ampicillin,3.99,3.09,264,yes
Amp_MexB_20260826,E,Ampicillin,4.11,3.10,263,yes
Amp_MexB_20260826,E,Ampicillin,4.24,3.12,258,yes
Amp_MexB_20260826,E,Ampicillin,4.36,3.14,260,yes
Amp_MexB_20260826,E,Ampicillin,4.48,3.13,260,yes
Amp_MexB_20260826,E,Ampicillin,4.60,3.12,261,yes
Amp_MexB_20260826,E,Ampicillin,4.73,3.12,261,yes
Amp_MexB_20260826,E,Ampicillin,4.85,3.11,261,yes
Amp_MexB_20260826,E,Ampicillin,4.97,3.12,259,yes
Amp_MexB_20260826,E,Ampicillin,5.11,3.11,258,yes
Amp_MexB_20260826,E,Ampicillin,5.25,3.10,259,yes
Amp_MexB_20260826,E,Ampicillin,5.40,3.10,261,yes
Amp_MexB_20260826,E,Ampicillin,5.54,3.10,262,yes
