pdb,chain,ligand,depth_from_own_mouth_A,radius_A
Amp_MexB_20260826,E,Ampicillin,62.80,2.64
Amp_MexB_20260826,E,Ampicillin,62.67,2.72
Amp_MexB_20260826,E,Ampicillin,62.53,2.80
Amp_MexB_20260826,E,Ampicillin,62.40,2.88
Amp_MexB_20260826,E,Ampicillin,62.27,2.97
Amp_MexB_20260826,E,Ampicillin,62.13,3.06
Amp_MexB_20260826,E,Ampicillin,62.01,3.14
Amp_MexB_20260826,E,Ampicillin,61.88,3.22
Amp_MexB_20260826,E,Ampicillin,61.75,3.29
Amp_MexB_20260826,E,Ampicillin,61.63,3.35
Amp_MexB_20260826,E,Ampicillin,61.50,3.38
Amp_MexB_20260826,E,Ampicillin,61.37,3.41
Amp_MexB_20260826,E,Ampicillin,61.24,3.44
Amp_MexB_20260826,E,Ampicillin,61.12,3.43
Amp_MexB_20260826,E,Ampicillin,61.00,3.41
Amp_MexB_20260826,E,Ampicillin,60.88,3.40
Amp_MexB_20260826,E,Ampicillin,60.76,3.39
Amp_MexB_20260826,E,Ampicillin,60.64,3.36
Amp_MexB_20260826,E,Ampicillin,60.52,3.32
Amp_MexB_20260826,E,Ampicillin,60.40,3.29
Amp_MexB_20260826,E,Ampicillin,60.28,3.27
Amp_MexB_20260826,E,Ampicillin,60.18,3.24
Amp_MexB_20260826,E,Ampicillin,60.08,3.22
Amp_MexB_20260826,E,Ampicillin,59.98,3.19
Amp_MexB_20260826,E,Ampicillin,59.88,3.17
Amp_MexB_20260826,E,Ampicillin,59.78,3.14
Amp_MexB_20260826,E,Ampicillin,59.64,3.14
Amp_MexB_20260826,E,Ampicillin,59.49,3.14
Amp_MexB_20260826,E,Ampicillin,59.35,3.12
Amp_MexB_20260826,E,Ampicillin,59.22,3.11
Amp_MexB_20260826,E,Ampicillin,59.12,3.10
Amp_MexB_20260826,E,Ampicillin,59.02,3.10
Amp_MexB_20260826,E,Ampicillin,58.93,3.07
Amp_MexB_20260826,E,Ampicillin,58.81,3.09
Amp_MexB_20260826,E,Ampicillin,58.69,3.10
Amp_MexB_20260826,E,Ampicillin,58.56,3.12
Amp_MexB_20260826,E,Ampicillin,58.44,3.14
Amp_MexB_20260826,E,Ampicillin,58.32,3.13
Amp_MexB_20260826,E,Ampicillin,58.19,3.12
Amp_MexB_20260826,E,Ampicillin,58.07,3.12
Amp_MexB_20260826,E,Ampicillin,57.95,3.11
Amp_MexB_20260826,E,Ampicillin,57.83,3.12
Amp_MexB_20260826,E,Ampicillin,57.69,3.11
Amp_MexB_20260826,E,Ampicillin,57.54,3.10
Amp_MexB_20260826,E,Ampicillin,57.40,3.10
Amp_MexB_20260826,E,Ampicillin,57.26,3.10
Amp_MexB_20260826,E,Ampicillin,57.12,3.10
Amp_MexB_20260826,E,Ampicillin,56.98,3.11
Amp_MexB_20260826,E,Ampicillin,56.84,3.11
Amp_MexB_20260826,E,Ampicillin,56.71,3.12
Amp_MexB_20260826,E,Ampicillin,56.57,3.14
Amp_MexB_20260826,E,Ampicillin,56.43,3.15
Amp_MexB_20260826,E,Ampicillin,56.30,3.17
Amp_MexB_20260826,E,Ampicillin,56.17,3.19
Amp_MexB_20260826,E,Ampicillin,56.04,3.22
Amp_MexB_20260826,E,Ampicillin,55.91,3.25
Amp_MexB_20260826,E,Ampicillin,55.80,3.26
Amp_MexB_20260826,E,Ampicillin,55.70,3.26
Amp_MexB_20260826,E,Ampicillin,55.60,3.27
Amp_MexB_20260826,E,Ampicillin,55.50,3.23
Amp_MexB_20260826,E,Ampicillin,55.39,3.20
Amp_MexB_20260826,E,Ampicillin,55.29,3.16
Amp_MexB_20260826,E,Ampicillin,55.16,3.12
Amp_MexB_20260826,E,Ampicillin,55.04,3.08
Amp_MexB_20260826,E,Ampicillin,54.91,3.04
Amp_MexB_20260826,E,Ampicillin,54.78,3.00
Amp_MexB_20260826,E,Ampicillin,54.65,2.97
Amp_MexB_20260826,E,Ampicillin,54.51,2.94
Amp_MexB_20260826,E,Ampicillin,54.37,2.92
Amp_MexB_20260826,E,Ampicillin,54.23,2.90
Amp_MexB_20260826,E,Ampicillin,54.10,2.88
Amp_MexB_20260826,E,Ampicillin,53.96,2.87
Amp_MexB_20260826,E,Ampicillin,53.83,2.86
Amp_MexB_20260826,E,Ampicillin,53.70,2.85
Amp_MexB_20260826,E,Ampicillin,53.58,2.85
Amp_MexB_20260826,E,Ampicillin,53.46,2.85
Amp_MexB_20260826,E,Ampicillin,53.35,2.85
Amp_MexB_20260826,E,Ampicillin,53.23,2.86
Amp_MexB_20260826,E,Ampicillin,53.09,2.87
Amp_MexB_20260826,E,Ampicillin,52.94,2.88
Amp_MexB_20260826,E,Ampicillin,52.80,2.90
Amp_MexB_20260826,E,Ampicillin,52.66,2.92
Amp_MexB_20260826,E,Ampicillin,52.52,2.95
Amp_MexB_20260826,E,Ampicillin,52.38,2.97
Amp_MexB_20260826,E,Ampicillin,52.23,3.01
Amp_MexB_20260826,E,Ampicillin,52.08,3.06
Amp_MexB_20260826,E,Ampicillin,51.93,3.10
Amp_MexB_20260826,E,Ampicillin,51.79,3.12
Amp_MexB_20260826,E,Ampicillin,51.64,3.14
Amp_MexB_20260826,E,Ampicillin,51.49,3.17
Amp_MexB_20260826,E,Ampicillin,51.35,3.19
Amp_MexB_20260826,E,Ampicillin,51.20,3.21
Amp_MexB_20260826,E,Ampicillin,51.06,3.23
Amp_MexB_20260826,E,Ampicillin,50.94,3.23
Amp_MexB_20260826,E,Ampicillin,50.81,3.23
Amp_MexB_20260826,E,Ampicillin,50.69,3.23
Amp_MexB_20260826,E,Ampicillin,50.57,3.22
Amp_MexB_20260826,E,Ampicillin,50.44,3.22
Amp_MexB_20260826,E,Ampicillin,50.30,3.22
Amp_MexB_20260826,E,Ampicillin,50.17,3.23
Amp_MexB_20260826,E,Ampicillin,50.04,3.23
Amp_MexB_20260826,E,Ampicillin,49.89,3.24
Amp_MexB_20260826,E,Ampicillin,49.75,3.25
Amp_MexB_20260826,E,Ampicillin,49.61,3.27
Amp_MexB_20260826,E,Ampicillin,49.46,3.30
Amp_MexB_20260826,E,Ampicillin,49.34,3.32
Amp_MexB_20260826,E,Ampicillin,49.21,3.35
Amp_MexB_20260826,E,Ampicillin,49.09,3.37
Amp_MexB_20260826,E,Ampicillin,48.96,3.40
Amp_MexB_20260826,E,Ampicillin,48.84,3.44
Amp_MexB_20260826,E,Ampicillin,48.71,3.48
Amp_MexB_20260826,E,Ampicillin,48.58,3.52
Amp_MexB_20260826,E,Ampicillin,48.46,3.56
Amp_MexB_20260826,E,Ampicillin,48.33,3.60
Amp_MexB_20260826,E,Ampicillin,48.20,3.65
Amp_MexB_20260826,E,Ampicillin,48.08,3.68
Amp_MexB_20260826,E,Ampicillin,47.96,3.70
Amp_MexB_20260826,E,Ampicillin,47.83,3.74
Amp_MexB_20260826,E,Ampicillin,47.71,3.77
Amp_MexB_20260826,E,Ampicillin,47.59,3.81
Amp_MexB_20260826,E,Ampicillin,47.45,3.82
Amp_MexB_20260826,E,Ampicillin,47.32,3.83
Amp_MexB_20260826,E,Ampicillin,47.19,3.85
Amp_MexB_20260826,E,Ampicillin,47.06,3.87
Amp_MexB_20260826,E,Ampicillin,46.91,3.87
Amp_MexB_20260826,E,Ampicillin,46.77,3.88
Amp_MexB_20260826,E,Ampicillin,46.62,3.89
