chain,valid_comparison,grid_step_A,probe_A,sphere_radius_A,amp_volume_A3,ddm_volume_A3,difference_A3,difference_pct
D,no,0.40,1.20,14.0,1245,952,-293,-23.5
D,no,0.40,1.20,16.0,1939,1457,-481,-24.8
D,no,0.40,1.20,18.0,2742,1983,-760,-27.7
D,no,0.40,1.40,14.0,980,706,-274,-28.0
D,no,0.40,1.40,16.0,1477,969,-508,-34.4
D,no,0.40,1.40,18.0,2013,1203,-809,-40.2
D,no,0.40,1.60,14.0,746,513,-232,-31.2
D,no,0.40,1.60,16.0,1106,712,-394,-35.6
D,no,0.40,1.60,18.0,1487,883,-604,-40.6
D,no,0.50,1.20,14.0,1242,950,-292,-23.5
D,no,0.50,1.20,16.0,1933,1453,-480,-24.8
D,no,0.50,1.20,18.0,2733,1967,-766,-28.0
D,no,0.50,1.40,14.0,984,706,-278,-28.3
D,no,0.50,1.40,16.0,1476,970,-506,-34.3
D,no,0.50,1.40,18.0,2013,1205,-808,-40.1
D,no,0.50,1.60,14.0,746,513,-233,-31.2
D,no,0.50,1.60,16.0,1105,712,-393,-35.6
D,no,0.50,1.60,18.0,1482,881,-601,-40.6
D,no,0.60,1.20,14.0,1242,947,-295,-23.7
D,no,0.60,1.20,16.0,1863,1451,-412,-22.1
D,no,0.60,1.20,18.0,2566,1765,-801,-31.2
D,no,0.60,1.40,14.0,984,702,-282,-28.6
D,no,0.60,1.40,16.0,1480,967,-513,-34.7
D,no,0.60,1.40,18.0,1929,1207,-722,-37.4
D,no,0.60,1.60,14.0,743,507,-236,-31.8
D,no,0.60,1.60,16.0,1097,707,-390,-35.5
D,no,0.60,1.60,18.0,1478,872,-607,-41.0
E,yes,0.40,1.20,14.0,1774,1984,210,11.8
E,yes,0.40,1.20,16.0,2407,2541,134,5.6
E,yes,0.40,1.20,18.0,3422,3479,56,1.6
E,yes,0.40,1.40,14.0,1456,1653,198,13.6
E,yes,0.40,1.40,16.0,1861,2018,158,8.5
E,yes,0.40,1.40,18.0,2539,2543,4,0.2
E,yes,0.40,1.60,14.0,1172,1368,196,16.7
E,yes,0.40,1.60,16.0,1467,1635,167,11.4
E,yes,0.40,1.60,18.0,1871,2016,146,7.8
E,yes,0.50,1.20,14.0,1769,1981,212,12.0
E,yes,0.50,1.20,16.0,2279,2488,209,9.2
E,yes,0.50,1.20,18.0,3190,3301,111,3.5
E,yes,0.50,1.40,14.0,1452,1649,197,13.6
E,yes,0.50,1.40,16.0,1843,2017,174,9.4
E,yes,0.50,1.40,18.0,2530,2534,4,0.1
E,yes,0.50,1.60,14.0,1175,1368,194,16.5
E,yes,0.50,1.60,16.0,1471,1631,160,10.9
E,yes,0.50,1.60,18.0,1872,1992,121,6.5
E,yes,0.60,1.20,14.0,1765,1979,215,12.2
E,yes,0.60,1.20,16.0,2278,2485,206,9.1
E,yes,0.60,1.20,18.0,3184,3243,59,1.9
E,yes,0.60,1.40,14.0,1452,1642,191,13.1
E,yes,0.60,1.40,16.0,1816,2012,196,10.8
E,yes,0.60,1.40,18.0,2529,2519,-10,-0.4
E,yes,0.60,1.60,14.0,1167,1358,191,16.3
E,yes,0.60,1.60,16.0,1469,1623,153,10.4
E,yes,0.60,1.60,18.0,1862,2000,138,7.4
F,no,0.40,1.20,14.0,1181,1316,134,11.4
F,no,0.40,1.20,16.0,1856,2015,158,8.5
F,no,0.40,1.20,18.0,2500,2822,322,12.9
F,no,0.40,1.40,14.0,876,1051,175,20.0
F,no,0.40,1.40,16.0,1408,1546,137,9.8
F,no,0.40,1.40,18.0,1888,2065,177,9.4
F,no,0.40,1.60,14.0,660,867,207,31.3
F,no,0.40,1.60,16.0,1004,1252,248,24.7
F,no,0.40,1.60,18.0,1291,1669,378,29.3
F,no,0.50,1.20,14.0,1177,1288,111,9.4
F,no,0.50,1.20,16.0,1847,1916,70,3.8
F,no,0.50,1.20,18.0,2483,2574,91,3.7
F,no,0.50,1.40,14.0,841,1047,205,24.4
F,no,0.50,1.40,16.0,1402,1528,125,8.9
F,no,0.50,1.40,18.0,1883,2056,173,9.2
F,no,0.50,1.60,14.0,652,871,218,33.5
F,no,0.50,1.60,16.0,1005,1256,250,24.9
F,no,0.50,1.60,18.0,1290,1668,378,29.3
F,no,0.60,1.20,14.0,1179,1286,107,9.1
F,no,0.60,1.20,16.0,1844,1868,24,1.3
F,no,0.60,1.20,18.0,2443,2561,119,4.9
F,no,0.60,1.40,14.0,861,1048,187,21.7
F,no,0.60,1.40,16.0,1401,1526,125,8.9
F,no,0.60,1.40,18.0,1887,2061,174,9.2
F,no,0.60,1.60,14.0,653,870,217,33.3
F,no,0.60,1.60,16.0,966,1243,276,28.6
F,no,0.60,1.60,18.0,0,1601,1601,741200.0
