structure,fit_frame,chain_A,chain_B,region,n_res,rms_dev_A,max_dev_A
Amp_MexB_20260826,TM_trimmed,D,E,TM1,26,1.38,2.91
Amp_MexB_20260826,TM_trimmed,D,E,PN1,91,4.31,5.82
Amp_MexB_20260826,TM_trimmed,D,E,PN2,94,4.58,9.16
Amp_MexB_20260826,TM_trimmed,D,E,DN,96,7.02,11.31
Amp_MexB_20260826,TM_trimmed,D,E,TM2,23,1.21,1.86
Amp_MexB_20260826,TM_trimmed,D,E,Ialpha,20,1.17,2.38
Amp_MexB_20260826,TM_trimmed,D,E,TM3-6,115,1.34,2.88
Amp_MexB_20260826,TM_trimmed,D,E,loop496-515,20,7.60,15.58
Amp_MexB_20260826,TM_trimmed,D,E,TM6b,50,1.45,3.23
Amp_MexB_20260826,TM_trimmed,D,E,PC1,96,3.61,5.01
Amp_MexB_20260826,TM_trimmed,D,E,PC2,82,4.28,6.09
Amp_MexB_20260826,TM_trimmed,D,E,DC,96,5.75,7.27
Amp_MexB_20260826,TM_trimmed,D,E,junction859-875,17,3.41,4.91
Amp_MexB_20260826,TM_trimmed,D,E,TM7-12,155,0.92,4.64
Amp_MexB_20260826,TM_trimmed,D,F,TM1,26,1.76,2.30
Amp_MexB_20260826,TM_trimmed,D,F,PN1,91,8.75,13.94
Amp_MexB_20260826,TM_trimmed,D,F,PN2,94,3.94,7.80
Amp_MexB_20260826,TM_trimmed,D,F,DN,97,8.54,12.82
Amp_MexB_20260826,TM_trimmed,D,F,TM2,23,2.28,2.88
Amp_MexB_20260826,TM_trimmed,D,F,Ialpha,21,1.90,3.19
Amp_MexB_20260826,TM_trimmed,D,F,TM3-6,115,2.15,4.72
Amp_MexB_20260826,TM_trimmed,D,F,loop496-515,20,6.05,12.11
Amp_MexB_20260826,TM_trimmed,D,F,TM6b,50,1.82,4.32
Amp_MexB_20260826,TM_trimmed,D,F,PC1,95,2.20,5.28
Amp_MexB_20260826,TM_trimmed,D,F,PC2,82,9.61,13.55
Amp_MexB_20260826,TM_trimmed,D,F,DC,96,6.51,9.19
Amp_MexB_20260826,TM_trimmed,D,F,junction859-875,17,7.01,10.24
Amp_MexB_20260826,TM_trimmed,D,F,TM7-12,155,1.86,4.51
Amp_MexB_20260826,TM_trimmed,E,F,TM1,26,1.68,3.53
Amp_MexB_20260826,TM_trimmed,E,F,PN1,91,5.32,9.02
Amp_MexB_20260826,TM_trimmed,E,F,PN2,94,5.55,9.79
Amp_MexB_20260826,TM_trimmed,E,F,DN,96,4.13,8.87
Amp_MexB_20260826,TM_trimmed,E,F,TM2,23,3.02,3.95
Amp_MexB_20260826,TM_trimmed,E,F,Ialpha,20,1.84,2.74
Amp_MexB_20260826,TM_trimmed,E,F,TM3-6,115,2.23,3.79
Amp_MexB_20260826,TM_trimmed,E,F,loop496-515,20,4.13,8.21
Amp_MexB_20260826,TM_trimmed,E,F,TM6b,50,2.25,3.37
Amp_MexB_20260826,TM_trimmed,E,F,PC1,95,3.36,5.48
Amp_MexB_20260826,TM_trimmed,E,F,PC2,82,8.90,12.79
Amp_MexB_20260826,TM_trimmed,E,F,DC,96,2.49,4.56
Amp_MexB_20260826,TM_trimmed,E,F,junction859-875,17,5.84,8.14
Amp_MexB_20260826,TM_trimmed,E,F,TM7-12,155,2.04,4.01
Amp_MexB_20260826,porter,D,E,TM1,26,4.45,6.65
Amp_MexB_20260826,porter,D,E,PN1,91,1.02,2.26
Amp_MexB_20260826,porter,D,E,PN2,94,3.64,7.71
Amp_MexB_20260826,porter,D,E,DN,96,3.30,8.27
Amp_MexB_20260826,porter,D,E,TM2,23,3.95,5.30
Amp_MexB_20260826,porter,D,E,Ialpha,20,4.44,6.29
Amp_MexB_20260826,porter,D,E,TM3-6,115,4.63,9.45
Amp_MexB_20260826,porter,D,E,loop496-515,20,10.92,19.43
Amp_MexB_20260826,porter,D,E,TM6b,50,4.67,6.80
Amp_MexB_20260826,porter,D,E,PC1,96,0.98,1.86
Amp_MexB_20260826,porter,D,E,PC2,82,0.84,1.51
Amp_MexB_20260826,porter,D,E,DC,96,1.29,2.93
Amp_MexB_20260826,porter,D,E,junction859-875,17,3.45,6.34
Amp_MexB_20260826,porter,D,E,TM7-12,155,4.25,8.88
Amp_MexB_20260826,porter,D,F,TM1,26,2.70,5.11
Amp_MexB_20260826,porter,D,F,PN1,91,3.02,5.73
Amp_MexB_20260826,porter,D,F,PN2,94,2.36,4.22
Amp_MexB_20260826,porter,D,F,DN,97,4.47,6.98
Amp_MexB_20260826,porter,D,F,TM2,23,7.09,10.45
Amp_MexB_20260826,porter,D,F,Ialpha,21,6.20,11.06
Amp_MexB_20260826,porter,D,F,TM3-6,115,5.60,11.05
Amp_MexB_20260826,porter,D,F,loop496-515,20,15.34,23.65
Amp_MexB_20260826,porter,D,F,TM6b,50,12.57,16.97
Amp_MexB_20260826,porter,D,F,PC1,95,3.20,5.26
Amp_MexB_20260826,porter,D,F,PC2,82,4.06,7.73
Amp_MexB_20260826,porter,D,F,DC,96,4.08,6.51
Amp_MexB_20260826,porter,D,F,junction859-875,17,4.11,5.84
Amp_MexB_20260826,porter,D,F,TM7-12,155,9.53,15.35
Amp_MexB_20260826,porter,E,F,TM1,26,4.53,6.40
Amp_MexB_20260826,porter,E,F,PN1,91,2.76,4.84
Amp_MexB_20260826,porter,E,F,PN2,94,3.61,6.38
Amp_MexB_20260826,porter,E,F,DN,96,6.11,12.61
Amp_MexB_20260826,porter,E,F,TM2,23,6.63,8.43
Amp_MexB_20260826,porter,E,F,Ialpha,20,5.46,7.64
Amp_MexB_20260826,porter,E,F,TM3-6,115,3.35,5.58
Amp_MexB_20260826,porter,E,F,loop496-515,20,8.07,12.67
Amp_MexB_20260826,porter,E,F,TM6b,50,8.71,11.30
Amp_MexB_20260826,porter,E,F,PC1,95,3.09,5.15
Amp_MexB_20260826,porter,E,F,PC2,82,3.78,7.13
Amp_MexB_20260826,porter,E,F,DC,96,4.19,6.66
Amp_MexB_20260826,porter,E,F,junction859-875,17,2.42,3.87
Amp_MexB_20260826,porter,E,F,TM7-12,155,6.29,9.84
MexB_DDM_3_20260730,TM_trimmed,D,E,TM1,26,1.76,2.77
MexB_DDM_3_20260730,TM_trimmed,D,E,PN1,91,4.30,5.66
MexB_DDM_3_20260730,TM_trimmed,D,E,PN2,94,5.04,9.19
MexB_DDM_3_20260730,TM_trimmed,D,E,DN,96,6.14,7.81
MexB_DDM_3_20260730,TM_trimmed,D,E,TM2,23,2.07,2.59
MexB_DDM_3_20260730,TM_trimmed,D,E,Ialpha,20,0.64,1.34
MexB_DDM_3_20260730,TM_trimmed,D,E,TM3-6,115,2.13,4.33
MexB_DDM_3_20260730,TM_trimmed,D,E,loop496-515,20,7.75,15.90
MexB_DDM_3_20260730,TM_trimmed,D,E,TM6b,50,1.65,2.39
MexB_DDM_3_20260730,TM_trimmed,D,E,PC1,96,4.12,5.76
MexB_DDM_3_20260730,TM_trimmed,D,E,PC2,82,5.80,8.89
MexB_DDM_3_20260730,TM_trimmed,D,E,DC,96,6.10,7.38
MexB_DDM_3_20260730,TM_trimmed,D,E,junction859-875,17,4.69,7.59
MexB_DDM_3_20260730,TM_trimmed,D,E,TM7-12,155,1.34,5.55
MexB_DDM_3_20260730,TM_trimmed,D,F,TM1,26,1.47,1.95
MexB_DDM_3_20260730,TM_trimmed,D,F,PN1,91,9.03,13.90
MexB_DDM_3_20260730,TM_trimmed,D,F,PN2,94,3.98,6.14
MexB_DDM_3_20260730,TM_trimmed,D,F,DN,97,8.38,11.15
MexB_DDM_3_20260730,TM_trimmed,D,F,TM2,23,1.06,1.28
MexB_DDM_3_20260730,TM_trimmed,D,F,Ialpha,21,0.88,1.65
MexB_DDM_3_20260730,TM_trimmed,D,F,TM3-6,115,1.86,4.43
MexB_DDM_3_20260730,TM_trimmed,D,F,loop496-515,20,6.66,14.81
MexB_DDM_3_20260730,TM_trimmed,D,F,TM6b,50,1.73,2.67
MexB_DDM_3_20260730,TM_trimmed,D,F,PC1,95,2.86,6.27
MexB_DDM_3_20260730,TM_trimmed,D,F,PC2,82,7.37,11.86
MexB_DDM_3_20260730,TM_trimmed,D,F,DC,96,6.63,8.50
MexB_DDM_3_20260730,TM_trimmed,D,F,junction859-875,17,4.37,7.01
MexB_DDM_3_20260730,TM_trimmed,D,F,TM7-12,155,1.34,4.70
MexB_DDM_3_20260730,TM_trimmed,E,F,TM1,26,0.68,1.28
MexB_DDM_3_20260730,TM_trimmed,E,F,PN1,91,6.18,10.40
MexB_DDM_3_20260730,TM_trimmed,E,F,PN2,94,5.58,8.92
MexB_DDM_3_20260730,TM_trimmed,E,F,DN,96,3.83,5.78
MexB_DDM_3_20260730,TM_trimmed,E,F,TM2,23,2.73,3.22
MexB_DDM_3_20260730,TM_trimmed,E,F,Ialpha,20,1.13,2.24
MexB_DDM_3_20260730,TM_trimmed,E,F,TM3-6,115,1.54,3.35
MexB_DDM_3_20260730,TM_trimmed,E,F,loop496-515,20,3.28,8.33
MexB_DDM_3_20260730,TM_trimmed,E,F,TM6b,50,1.01,1.76
MexB_DDM_3_20260730,TM_trimmed,E,F,PC1,95,3.07,4.29
MexB_DDM_3_20260730,TM_trimmed,E,F,PC2,82,9.44,13.79
