pdb,chain,state_call,mean_potential_kT_e,median_potential_kT_e,sd_potential_kT_e,percent_below_minus1,percent_above_plus1,n_points_sampled
Amp_MexB_20260826,D,Binding,-5.31,-4.22,44.55,64.1,28.2,1552
Amp_MexB_20260826,E,Binding,-13.44,-6.04,48.73,70.9,20.1,1968
Amp_MexB_20260826,F,Extrusion,-1.96,-0.63,34.27,45.9,33.2,1667
MexB_DDM_3_20260730,D,Access,-5.84,-5.64,37.07,64.7,28.6,1171
MexB_DDM_3_20260730,E,Binding,-5.81,-4.97,35.35,64.5,27.1,2110
MexB_DDM_3_20260730,F,Extrusion,-6.12,-4.44,21.12,78.0,11.8,1747
21FO,A,Access,-6.66,-3.42,34.97,69.9,18.3,1107
21FO,B,Binding,-7.18,-5.27,35.18,63.7,29.5,2161
21FO,C,Extrusion,-7.46,-4.02,35.75,84.2,10.9,1723
21FP,A,Access,-4.33,-4.63,28.66,69.5,22.9,1142
21FP,B,Binding,-7.64,-6.52,34.12,67.5,23.4,2221
21FP,C,Extrusion,-5.14,-3.81,38.51,80.0,16.4,1821
2V50,A,Access,-14.35,-12.32,40.23,81.1,16.9,1421
2V50,B,Binding,-2.50,-1.95,32.78,54.9,30.0,2057
2V50,C,Extrusion,-11.39,-7.85,45.28,69.3,24.4,1641
3W9I,A,Access,-15.95,-6.85,49.36,63.4,20.9,1074
3W9I,B,Binding,-5.28,-3.48,34.46,58.0,30.4,2378
3W9I,C,Extrusion,-7.76,-6.22,43.79,65.4,26.4,1620
3W9J,A,Access,-13.12,-9.02,45.29,77.4,19.2,1060
3W9J,B,Binding,-2.27,0.47,29.98,44.3,46.5,1965
3W9J,C,Extrusion,-9.32,-8.12,39.68,70.0,26.5,1762
6IIA,A,Access,-14.78,-8.19,39.24,82.0,15.4,1044
6IIA,B,Binding,-4.90,-3.31,34.24,54.5,33.3,2125
6IIA,C,Extrusion,-9.29,-7.03,44.89,67.8,26.7,1619
6IOK,F,Access,-17.46,-10.08,49.92,81.9,15.1,978
6IOK,E,Extrusion,-7.26,-3.99,39.58,74.6,16.8,1262
6IOL,F,Access,-20.43,-12.59,49.61,88.7,10.3,864
6IOL,G,Binding,-2.68,-0.36,34.56,48.2,45.1,1496
6IOL,E,Extrusion,-7.83,-4.28,39.87,75.2,18.8,1169
6T7S,J,Binding,-8.88,-6.16,28.59,72.2,17.3,1617
6T7S,K,Access,-7.49,-8.79,10.69,84.2,9.4,1355
6TA6,J,Binding,-4.68,-1.19,27.73,50.3,45.4,1893
6TA6,K,Extrusion,-3.78,-3.34,32.71,64.5,23.5,1427
6TA6,L,Access,-17.55,-13.50,42.58,88.7,9.2,1380
